technique,questions,chunks,avg_chunk_length_chars,mean_top1_cosine,mean_at_k_cosine,recall_at_k,top1_source_accuracy,mean_retrieval_latency_ms,max_store_cosine_delta
token,5,337,1598.85,0.7378369212150574,0.6855444169044494,1,0.8,6.736799806822091,1.1442402358952108e-07
semantic,5,436,1157.87,0.7486644983291626,0.6853823518753052,1,0.8,7.3541498044505715,1.6922841639122055e-07
sentence_window,5,3851,131.09,0.7726519107818604,0.7146520614624023,0.6,0.6,32.12194178486243,1.8287165282071527e-07
